Image Name,Predicted Class
082_165+37.jpg,2
174_187+6.jpg,1
164_187+6.jpg,1
008_066+23.jpg,2
027_086+95.jpg,0
058_071+39.jpg,0
062_190+28.jpg,2
137_139+36.jpg,1
025_102+14.jpg,2
FIG+35.jpg,1
009_071+24.jpg,2
035_108+34.jpg,2
006_023+48.jpg,0
133_175+7.jpg,1
101_135+77.jpg,1
059_086+95.jpg,2
115_106+8.jpg,0
147_154+80.jpg,1
018_021+46.jpg,1
037_100+5.jpg,2
024_073+42.jpg,2
029_187+6-ball.jpg,0
061_073+42.jpg,2
061_066+13.jpg,1
114_187+6-ball.jpg,0
030_175+7.jpg,2
053_190+28.jpg,2
150_SV-P+49.jpg,1
206_187+6.jpg,0
064_101+22.jpg,2
006_165+37.jpg,0
016_021+41.jpg,1
015_021+17.jpg,1
073_066+23.jpg,0
079_106+8.jpg,2
011_020+32.jpg,1
026_165+37.jpg,2
054_064+21.jpg,1
040_064+21.jpg,2
050_066+29.jpg,2
074_175+7.jpg,0
035_187+6.jpg,2
013_020+3.jpg,1
090_139+36.jpg,0
018_102+14.jpg,0
085_071+24.jpg,0
134_190+28.jpg,2
067_187+6.jpg,2
011_102+14.jpg,2
029_086+95.jpg,2
003_008+11.jpg,2
028_064+21.jpg,2
191_165+37.jpg,0
107_106+8.jpg,0
006_098+1.jpg,2
029_071+40.jpg,2
006_078+44.jpg,2
090_064+9.jpg,0
008_165+37.jpg,2
117_187+6.jpg,0
009_086+94.jpg,2
002_066+13.jpg,0
087_071+24.jpg,2
051_187+6.jpg,2
122_139+36.jpg,1
087_071+25.jpg,0
122_175+7.jpg,2
145_164+82.jpg,1
019_021+19.jpg,1
145_190+28.jpg,2
145_175+7.jpg,1
017_098+1.jpg,2
006_108+34.jpg,2
328_190+28.jpg,0
017_018+16.jpg,1
050_086+95.jpg,2
063_100+5.jpg,2
003_042+10.jpg,2
125_139+36.jpg,1
017_030+50.jpg,1
092_071+25.jpg,0
055_190+28.jpg,2
021_024+56.jpg,1
013_071+25.jpg,2
087_064+9.jpg,0
037_187+6-ball.jpg,0
067_187+6-ball.jpg,2
115_139+36.jpg,1
046_073+42.jpg,2
216_190+28.jpg,2
066_071+25.jpg,1
254_190+28.jpg,2
015_022+27.jpg,1
046_102+14.jpg,0
168_190+28.jpg,1
009_SV-P+49.jpg,2
131_187+6.jpg,2
014_042+10.jpg,1
065_175+7.jpg,0
113_106+8.jpg,0
069_139+36.jpg,2
013_086+94.jpg,2
094_187+6-ball.jpg,0
131_159+69.jpg,1
DAR+70.jpg,1
138_187+6-ball.jpg,1
048_078+45.jpg,2
115_175+7.jpg,2
023_078+44.jpg,2
120_187+6.jpg,0
080_066+30.jpg,0
078_108+34.jpg,2
081_187+6.jpg,2
157_175+7.jpg,1
008_064+9.jpg,2
002_SV-P+49.jpg,2
004_066+29.jpg,2
074_078+44.jpg,1
027_108+34.jpg,2
015_063+2.jpg,2
001_071+24.jpg,2
052_098+1.jpg,2
007_023+47.jpg,2
047_073+42.jpg,2
063_066+29.jpg,1
064_066+29.jpg,1
291_190+28.jpg,2
073_063+2.jpg,0
024_042+10.jpg,1
152_165+37.jpg,1
096_187+6-ball.jpg,0
022_098+1.jpg,2
061_165+37.jpg,2
FIG+47.jpg,1
044_071+40.jpg,2
064_071+24.jpg,1
005_187+6-ball.jpg,2
004_066+13.jpg,2
191_SV-P+49.jpg,2
072_071+25.jpg,0
006_102+14.jpg,2
072_165+37.jpg,2
059_066+29.jpg,1
053_066+29.jpg,2
221_187+6.jpg,0
010_019+15.jpg,1
378_414+63.jpg,1
033_071+40.jpg,2
021_SV-P+49.jpg,0
341_190+28.jpg,0
178_186+86.jpg,1
021_020+3.jpg,0
114_102+14.jpg,0
015_020+3.jpg,1
238_190+28.jpg,2
179_187+6-ball.jpg,1
007_066+13.jpg,2
113_190+28.jpg,0
053_078+45.jpg,2
036_100+5.jpg,2
032_102+14.jpg,2
140_158+92.jpg,1
089_066+29.jpg,0
197_165+37.jpg,0
010_SV-P+49.jpg,0
301_190+28.jpg,2
117_108+34.jpg,0
PSY+13.jpg,1
062_073+42.jpg,2
107_108+34.jpg,1
014_066+30.jpg,2
031_064+9.jpg,2
083_139+36.jpg,2
037_101+22.jpg,2
020_066+29.jpg,0
001_078+45.jpg,2
135_187+6.jpg,2
186_187+6-ball.jpg,1
018_024+56.jpg,1
062_071+39.jpg,2
128_175+7.jpg,1
116_101+22.jpg,2
077_071+25.jpg,0
131_158+92.jpg,1
018_071+24.jpg,2
057_086+95.jpg,2
052_175+7.jpg,0
117_175+7.jpg,2
027_190+28.jpg,2
209_SV-P+49.jpg,2
016_102+14.jpg,2
003_071+25.jpg,2
025_071+25.jpg,2
145_169+87.jpg,1
024_106+8.jpg,2
002_021+17.jpg,2
017_022+26.jpg,1
009_020+59.jpg,1
